Painting,4000,Painting1,150.00,2020,Picasso,Oil
Jewelery,4001,Necklace,140.00,2021,Gold,Precious
Furniture,4002,Chair,30.00,2020,Kitchen Furniture,Wood
Painting,4003,Painting2,350.00,2020,Monet,Tempera
Jewelery,4004,Engagement Ring,1000.00,2021,Gold,Precious
Furniture,4005,Table,100.00,2019,Coffee Table,Glass
Furniture,4006,Closet,275.50,2018,Bedroom Closet,Wood
Furniture,4007,Desk,180.00,2019,Office small desk,Wood
Jewelery,4008,Bracelet,85.00,2020,Silver,Not Precious
Jewelery,4009,Ring,50.00,2019,RoseGold,Not Precious
Jewelery,4010,Necklace,220.00,2020,Gold,Precious
Painting,4011,Painting3,345.00,2019,DaVinci,Acrylic
Painting,4012,Painting4,178.00,2018,Unknown,Oil
Jewelery,4013,Pearl Necklace,130.00,2017,Pearls,Not Precious
Jewelery,4014,Anklet,90.00,2020,Silver,Not Precious
Furniture,4015,Shelves,75.00,2020,Small shelves,Metal
Furniture,4016,Couch,128.00,2019,Living room furniture,Leather
Painting,4017,Painting4,290.00,2000,Local artist,Tempera
Painting,4018,Painting5,190.00,2000,Local artist,Acrylic
Painting,4019,Painting6,130.00,2010,Local artist,Oil
